ID,Reviews,Ratings
32767,"i expect like regular size of ring,but this one look like a ring for toy or something funy, the MM of our rings is 5MM and this ring may be is 1MMso ridiculousMartin1/5 ct.tw Round Diamond Solitaire Ring in 18k White Gold",1
15959,"I ordered a ring that stated Toe Ring"" in the description. The ring came very quickly but was not a toe ring. I don't know anyone with a size 8 toe. If you know anyone please direct them to this seller! Is it a wedding band, toe ring or thumb ring? Pick one!",1
43515,"This ring is a beautiful ring but the first shipment of this ring had scratches on the diamond and was missing 2 diamonds on the shoulder of the ring. I returned the ring for a replacement of the same ring, the second ring was even worse. Clearly visible white scratch right in the middle of a black diamond does not look that great. And this time 1 diamond missing on the shoulder of the ring. I returned it for a refund. Thanks alot Amazon.",1
46347,"This ring is a beautiful ring but the first shipment of this ring had scratches on the diamond and was missing 2 diamonds on the shoulder of the ring. I returned the ring for a replacement of the same ring, the second ring was even worse. Clearly visible white scratch right in the middle of a black diamond does not look that great. And this time 1 diamond missing on the shoulder of the ring. I returned it for a refund. Thanks alot Amazon.",1
30720,This is a huge waste of money I had it for about a month when the part that holds the symbol to the necklace broke. I seriously not wasting your money on this low quality item,1
1816,The quality and look were not what I had anticipated. Very flimsy.I would not recommend this item,1
265,"The quality of this item was not up to expectations.The Top was scratched, the hinges did not line up to the pre-drilled holes and the staining was inconsistant. If I saw this item in a store I would not have purchased it.",1
54548,"hard and can't wear it, the material is hard and not easy to wear I just don't like it I should have saved my money and got on from A&E",1
28250,"I wanted to know if this ring is like 2 rings in one, because this ring is beyond gorgeous, I just love it.",2
30773,"Nice ring for the an inexpensive ring, but one stone was missing. It was not worth returning it as you would pay more for postage than what the ring cost.",2
11856,wore this toe ring one day and POOF the stone was gone so it sits in a pile of other broken sterling silver rings and things,2
2185,Ring is way too small and looks like a toy when putting it on. I would not recommend if you want a nice 1/2 carat ring.,2
36727,I only had it a week before one of the jewels fell out of the wing. The metal is already tarnishing too. Spend your money on a higher quality item.,2
11087,its what i wanted :) but its not my favorite piercing of mine but i have to wear the bioplast cuz i break out with certain metals,2
535,"It serves the purpose, but it seemed to me that the image was a lot prettier and sparklier than it turned out to be. I wear it UNDER my shirt since it does not compliment anything I wear.",2
32496,"This ring is a beautiful ring but the first shipment of this ring had scratches on the diamond and was missing 2 diamonds on the shoulder of the ring. I returned the ring for a replacement of the same ring, the second ring was even worse. Clearly visible white scratch right in the middle of a black diamond does not look that great. And this time 1 diamond missing on the shoulder of the ring. I returned it for a refund. Thanks alot Amazon.",3
35526,"This ring is a beautiful ring but the first shipment of this ring had scratches on the diamond and was missing 2 diamonds on the shoulder of the ring. I returned the ring for a replacement of the same ring, the second ring was even worse. Clearly visible white scratch right in the middle of a black diamond does not look that great. And this time 1 diamond missing on the shoulder of the ring. I returned it for a refund. Thanks alot Amazon.",3
44534,very nice small sized ring I can stack it with other rings for different looks,3
48216,"I got this ring for my birthday and I love it, I cannot imagine a woman not adoring this ring.",3
50609,I was at first skeptical about this ring as the price was very low and I don't wear a lot of gold. I purchased the ring as I have a few nice gold necklaces I wear and I wanted a ring to work with them all. The ring doesn't look like a $35 ring.,3
50640,This ring is awesome! I wear the ring on my index finger and it fits great! Comfortable ring.,3
50650,"Not only is the ring beautiful, the jeweler was very accommadating in having the ring reach us in time. We appreciate the care and quick receiving of the ring. Thank you!",3
27858,I love the ring its not a ring that you would want to wear as an everyday ring the claws that hold the stone in are very sharp and get stuck on things and have scratched me,3
21185,"I bought this ring as a Valentine's gift but couldn't give it since the hands holding the heart symbol would reverse whenever the ring spins (there are 4 of them on this ring, alternating the facing direction). It's a cute ring so I just kept it for myself.",3
22946,This ring was a little too small for my ring finger. It would have been better as a pinky ring.,3
9050,"The ring is pretty enough, but the metal of the ring is very insubstantial it pushes in very easily.",3
44591,my husband loves it only thing is you cant have this ring resized due to the way the ring is made,3
24452,The ring is pretty but very flexible which turned out good for me because I ordered for my ring finger and the size of it made it look better as a pinkie ring.,3
12483,"They definitely help lessen your appitite, however my ears were sore after wearing for about 3 hours and the next few days I tried to wear them off and on and to increase the wearing time. If you have a good pain tolerance you may not notice any discomfort, as for me my ears lobes were swollen and I had to stop wearing them for 4 days.",3
56342,"i got 3 belly rings 3 tongue rings 3 lip rings and a 16g cbr. all the stuff i got was cool, i love the pink peace sign tongue ring :) the only complaint is that i got 2 yellow lip rings and im not much for yellow, overall very happy",4
33009,"I a similar ring off of a auction site. The flaw lies in the middle part of the ring, being that its a complete ring it cuts down on the flexiblity of the over all joint. I ended up taking mine to a silver smith and had him remove the back section of the middle ring and it really helped out with the flexibility",4
54953,"I a similar ring off of a auction site. The flaw lies in the middle part of the ring, being that its a complete ring it cuts down on the flexiblity of the over all joint. I ended up taking mine to a silver smith and had him remove the back section of the middle ring and it really helped out with the flexibility",4
37896,my only wish on this ring is- I wish the cut potrion went all the way around the ring. Other than that a great very comfortable ring.,4
51030,"The ring was shipped accordingly and I love the shipping pace. The ring itself is beautiful, the only thing I don't care for is there is a line where it looks like the ring may have been re-sized. Inclduing all the specifications I included the ring has met my expectations especially for a beginning ring.",4
13559,My husband wears a size 10 and the ring was too tight so I now I have a new thumb ring. I guess you shouldn't order some things online. But it is a cute ring,4
52663,I have been told that the ring is very comfortable to wear and he was quite surprised and please to see the Masonic ring in titanium.,4
39606,I haven't even ordered this ring but i read the reviews for it. If you notice picture 1 and pictures 2/3 are two different rings. I was going to order the ring but it seems that the ring received is the 2nd/3rd ring which has a smaller cross design.,4
2520,Your picture of this rings shows blue sapphires so I was disappointed to see that the ring I received has such dark stones that they appear black. The ring is definitely NOT as advertised.,4
33813,"This is my favorite ring. Also one of the first rings I ever bought. So if you are new to buying pewter rings, here's something that may help you out. Pewter rings tend to be a bit more bulkier than other types of rings and the metal is softer. Past that I liked this ring, the design of the dead bugs and snakes catches a lot of attention.",4
42026,the product came very fast and was just like how amazon explained itthe ring is very clearly written NO WAR and thick which i likebut i guess if you like small rings this isnt your ring,4
51396,very nice small sized ring I can stack it with other rings for different looks,4
45548,This is an attractive and high quality item for a young teenager. It is too small for an adult.,4
45856,"I could see the quality work in this rosary. I was pleased when I opened the container and I could immediately smell olive wood. There was only one thing buyers need to be aware of when buying this item that wasn't mentioned in the description. The Holy Land Sand is present in a compartment on the rosary. In my opinion, this adds to the quality of the rosary so I'm not sure why the seller didn't describe this fact. I'll be looking for more items from this seller.",4
33746,i love this ring my only complaint is that the metal is so soft that it bent to the point that i couldnt wear it anymore. i still wear it on a necklace and love it on occasion i can squish it onto my fingure but it took less than two months for it to be almost impossible for me to wear.,4
3865,What sparkle. It is so pretty and dainty. Just what I was looking for.,4
42077,This is a solid.beautiful ring. But if you are expecting the color in rhe picture you will be disappointed. It is barely pink at all. When I first saw it I thought it was lavendar. It's still pretty but buy for design not color.,4
53750,This is a beautiful piece. I looked for a long time to replace the hamsa hand that was given to me in Egypt. This one is perfect. It's delicate and sturdy and lovely to look at. The detail is so pretty and elegant. I wear it often,4
39496,I bought two of these rings to fit on either side of my own platinum princess wedding ring to help anchor and to add to the ring. Perfect fit! I have had a lot of compliments on my new ring".,5
33858,This ring is perfect I say why spend thousands when you don't have to? The ring shines perfectly I love this ring!,5
17442,"Eve's Addiction was wonderful with sending the ring and the ring is beautiful; my daughter waas thrilled with the ring. Thank you, Dorothy",5
47910,"my girlfriend especially enjoys this ring because of the thickness of the ring band. In the past she has had similar rings but has always been frustrated by the flimsy ring band, but this ring has a nice solid band.",5
58595,I absolutely love this ring! I got this as my engagement ring Feb 09 This ring is beautiful and durable.,5
23979,"I love this ring because the flowers go all the way around the ring and it fits my ring finger so if I ever find Mr. Right he doesn't have to buy me an engagement ring, he can just use this as my engagement ring, as I am not into getting into debt before marriage.",5
39620,"This ring is gorgeous and fits right in with the other sterling silver Celtic rings that I have. I was a little worried at first with the size of the band since it's a 10 and I wear a 9 but the band is very wide and the ring fits perfectly and is hardly loose at all. Even though this is a mans ring it isn't to big or clunky, a must have for all lovers of Celtic rings! The ring also arrived very quickly which is the same for the other ring I bought from this company, I would definitely do business with them again!",5
3978,Bought this ring as a thumb ring everyone notices it and comments about how pretty and cool it looks then when I spin it they want to know where I got it I would recommend this ring to any one also very comfy.,5
34483,i love the ring it shines beautiful its looks so real anyone who like to buy one this is the ring the stones are a good size my friends love the ring it could pass for a real diamond i love the ring its worth the money its better then the ring i bought from avon it was silver and had cubic z no shine to the ring but this ring i bought with the 3 stones its worth the price anne marie,5
48781,"I owned a triple roll ring which each of the three rings slowly broke, so I purchased this which so far, none of the individual rings have broken yet.",5
6421,I love rings. I need more pinky rings and it's hard to find size 4 rings that aren't just for children. This ring is nice. It's a nice flower ring that is perfect as a pinky ring for me.,5
53693,I bought this ring for my old prom date it's a beautiful ring and fair price so any guy looking to save money until he afford that Engagement ring definitely get this.,5
28474,"This ring is just lovely!While advertised as a pinky ring, I actually wear it as a thumb ring.",5
49855,"Im unfortunately a small woman, my ring size is a 4 so its almost impossible to purchase rings without having them sized. I purchased this ring so that I would have something to wear while on vacation and doing things that could otherwise harm my expensive rings. I dont even need my expensive rings now. This ring fits and looks beautiful!",5
10209,This works perfectly for my rings and my wider rings - both narrow and wide.,5
49720,This ring is just absolutely stunning and beautiful! I would recommend this amethyst ring to anyone who is in the market for a reasonably priced amethyst ring.,5
25080,I reciently lost a ring very much like this one and was searching high and low for another ring to replace the one I lost and came across this ring. This ring is absolutely the most brilliant ring to look at. It shines and sparkels like little Diamonds. I just love this ring. and would reccomend it to anyone who wants a ring that is elegent and afordable at the same time.,5
43839,Still wearing the pinky ring with the trinity knotFinally have a pinky ring that does not turn my finger green,5
40749,got this for my gf not as an enguagement ring and much to my supprize it was two rings which fit together to make 1. it looked like just one ring in the picture. i must say it is a beautiful ring which always catches peoples attention,5
6522,I love the ring and suggest every girl should have this ring in their jewelry collection.,5
34529,"My wife needed a ring to wear since her actual wedding ring was lost. We were not expecting a one million dollar ring of course. But what arrived not only turned our heads, her co-workers actually noticed this ring more than they ever noticed her old ring. The Cubic Zirconia looks authentic enough under basic scrutiny that we may never go back to a diamond ring again. Me myself, my wedding ring has always been just a silver band but I believe this ring truly defies the subliminal misconception that she deserves a diamond.Great for your temporary ring, or if she doesnt care about price, a perfect choice for those who want to turn heads without breaking the bank",5
19647,"I checked around jewelry stores for prices and I couldn't find any rings that could even compare to this! It is not a huge ring but it is definitely not microscopic either. I bought this ring to go along with my solitaire engagement ring and it makes a perfect replacement to a plain wedding band. I am really glad that I decided to go with this ring, even though I was kind of nervous ordering a ring online.",5
45289,"I bought this for my 17 year old daughter who had seen a small heart shaped ring at the Coach store and liked the style. This one was much cheaper and ended up being so much prettier! It's really an eye catching ring, doesn't look cheap and sparkles beautifully. I am actually ordering her a second ring since she will be leaving for college next month and is worried about losing it. I think she'll like knowing there is a spare ring at home just in case and for the price it's not a big deal. She wears this ring on her right ring finger instead of her high school ring because she loves it that much. I would suggest this ring for any fan of hearts and a little bit of bling!",5
